Deformation[in],Force[kip]
-1.576363852,-98.67186359
-1.565674774,42.65190431
-1.547503343,47.83507997
-1.538952081,73.11685724
-1.54162435,45.53322305
-1.538952081,-85.71494509
-1.536279812,-89.88807717
-1.538952081,-91.85522618
-1.538952081,-93.58218024
-1.54429662,-94.92604716
-1.538952081,-97.80362349
-1.526125188,50.14040714
-1.517573926,48.222658
-1.506884849,73.60064933
-1.504747034,52.44573431
-1.506884849,-85.42303678
-1.506884849,-89.16477057
-1.506884849,-90.89172462
-1.506884849,-92.61867868
-1.506884849,-94.34563274
-1.506884849,-97.79954085
-1.496195772,50.1442176
-1.485506694,54.60687646
-1.474817617,74.89994751
-1.474817617,73.17299345
-1.474817617,52.16171909
-1.474817617,-85.41895414
-1.474817617,-89.16068793
-1.474817617,-90.88764199
-1.474817617,-92.61459605
-1.474817617,-94.24560821
-1.472145348,-96.93164097
-1.480162156,-98.08396433
-1.461990724,56.48073728
-1.453439462,53.67552564
-1.44061257,74.55891151
-1.442750385,-84.83922016
-1.44061257,-89.38659366
-1.442750385,-91.65109449
-1.442750385,-93.37804855
-1.453439462,-94.05100267
-1.442750385,-97.0718114
-1.429923492,58.78742533
-1.432061308,56.67643153
-1.432061308,54.94947747
-1.412820969,74.44731952
-1.410683153,-84.83513752
-1.410683153,-88.57687131
-1.410683153,-90.30382537
-1.410683153,-92.03077943
-1.410683153,-93.46990781
-1.408545338,-96.5205878
-1.42137223,-97.50082815
-1.39785626,60.51846202
-1.402666345,58.35915705
-1.399994076,56.2008047
-1.376478106,74.91246758
-1.378615921,-84.35134543
-1.375943652,-88.7163613
-1.378615921,-90.68351031
-1.378615921,-92.41046436
-1.38396046,-93.46650561
-1.378615921,-96.34408194
-1.365789028,62.59488952
-1.367926844,60.61821437
-1.367926844,59.0831441
-1.373271382,57.64333528
-1.346548689,75.4919294
-1.346548689,-84.2513209
-1.346548689,-87.99305469
-1.346548689,-89.72000875
-1.346548689,-91.44696281
-1.346548689,-93.17391687
-1.344410874,-95.93677118
-1.357237766,-96.91701153
-1.333721796,63.9805354
-1.338531881,61.6773176
-1.335859612,59.27911051
-1.314481457,75.59195392
-1.314481457,-83.95941259
-1.314481457,-87.98897206
-1.314481457,-89.71592612
-1.314481457,-91.44288017
-1.314481457,-93.16983423
-1.314481457,-94.89678829
-1.314481457,-96.33591667
-1.301654564,65.13592074
-1.306464649,62.90465935
-1.30379238,60.43449585
-1.298447841,-61.65088137
-1.298447841,-66.6878307
-1.298447841,-68.41478476
-1.298447841,-70.14173882
-1.296666328,-72.82788498
-1.298447841,-75.03477531
-1.300229354,-77.04978186
-1.282414225,76.07574602
-1.285977251,-58.43524029
-1.293103302,-59.77933404
-1.293103302,-63.23324215
-1.293103302,-64.96019621
-1.282414225,-78.87040968
-1.282414225,-83.4756205
-1.282414225,-87.40923807
-1.282414225,-89.13619213
