Time[s],Deformation[in]
140,-9.51392E-15
140.25,0.214439757
140.5,0.303178171
140.75,0.214319033
141,1.27698E-14
141.25,-0.214198741
141.5,-0.302837933
141.75,-0.214078878
142,1.18621E-15
142.25,0.213959444
142.5,0.302500121
142.75,0.213840437
143,2.07445E-15
143.25,-0.213721855
143.5,-0.30216472
143.75,-0.213603697
144,-5.32789E-15
144.25,0.213485961
144.5,0.301831712
144.75,0.213368645
145,8.57419E-15
145.25,-0.213251749
145.5,-0.30150108
145.75,-0.213135271
146,-1.18134E-14
146.25,0.213019209
146.5,0.301172806
146.75,0.212903562
147,-2.06472E-15
147.25,-0.212788328
147.5,-0.300846875
147.75,-0.212673506
148,-1.17909E-15
148.25,0.212559094
148.5,0.300523269
148.75,0.212445091
149,4.41593E-15
149.25,-0.212331495
149.5,-0.300201972
149.75,-0.212218306
150,-7.64587E-15
150.25,0.212105521
150.5,0.299882967
150.75,0.211993138
151,1.0869E-14
151.25,-0.211881158
151.5,-0.299566237
151.75,-0.211769578
152,-1.40854E-14
152.25,0.211658396
152.5,0.299251768
152.75,0.211547612
153,2.93473E-16
153.25,-0.211437224
153.5,-0.298939542
153.75,-0.21132723
154,-3.51426E-15
154.25,0.211217629
154.5,0.298629544
154.75,0.21110842
155,6.72839E-15
155.25,-0.210999601
155.5,-0.298321757
155.75,-0.210891171
156,-9.93593E-15
156.25,0.210783128
156.5,0.298016166
156.75,0.210675472
157,1.3137E-14
157.25,-0.2105682
157.5,-0.297712756
157.75,-0.210461312
158,5.82905E-16
158.25,0.210354806
158.5,0.29741151
158.75,0.21024868
159,2.62236E-15
159.25,-0.210142934
159.5,-0.297112413
159.75,-0.210037565
160,-5.82119E-15
160.25,0.209932573
160.5,0.29681545
160.75,0.209827956
161,9.01367E-15
161.25,-0.209723713
161.5,-0.296520606
161.75,-0.209619843
162,-1.21998E-14
162.25,0.209516343
162.5,0.296227865
162.75,0.209413214
163,1.53798E-14
163.25,-0.209310453
163.5,-0.295937213
163.75,-0.209208059
164,-1.85536E-14
164.25,0.209106032
164.5,0.295648635
164.75,0.209004369
165,2.17213E-14
165.25,-0.208903069
165.5,-0.295362115
165.75,-0.208802131
166,8.67961E-15
166.25,0.208701554
166.5,0.29507764
166.75,0.208601336
167,-5.49167E-15
167.25,-0.208501477
167.5,-0.294795194
167.75,-0.208401974
168,2.30986E-15
168.25,0.208302827
168.5,0.294514763
168.75,0.208204034
169,8.65887E-16
169.25,-0.208105594
169.5,-0.294236333
169.75,-0.208007506
170,-4.03564E-15
170.25,0.207909769
170.5,0.29395989
170.75,0.207812381
171,7.19946E-15
171.25,-0.207715341
171.5,-0.293685418
171.75,-0.207618647
172,-1.03574E-14
172.25,0.2075223
172.5,0.293412905
172.75,0.207426296
173,1.35095E-14
173.25,-0.207330636
173.5,-0.293142336
173.75,-0.207235317
174,-1.66559E-14
174.25,0.207140339
174.5,0.292873697
174.75,0.207045701
175,1.97967E-14
175.25,-0.2069514
175.5,-0.292606975
175.75,-0.206857437
176,-2.29318E-14
176.25,0.206763809
176.5,0.292342156
176.75,0.206670516
177,-7.1592E-15
177.25,-0.206577557
177.5,-0.292079227
177.75,-0.20648493
178,4.00539E-15
178.25,0.206392633
178.5,0.291818173
178.75,0.206300667
179,-8.57225E-16
179.25,-0.206209029
