Force[kip],Deformation[in]
-165.314285,-0.120239
-159.041412,-0.118209
-152.733871,-0.117049
-146.207184,-0.110679
-139.374817,-0.111259
-132.293091,-0.106039
-125.121292,-0.102569
-118.040985,-0.101699
-111.183914,-0.096189
-104.607895,-0.096769
-98.314835,-0.089529
-92.267815,-0.088949
-86.381241,-0.084599
-80.505974,-0.081419
-74.449837,-0.079389
-68.060631,-0.077939
-61.346172,-0.074169
-54.538898,-0.069829
-48.029182,-0.065189
-42.168301,-0.062869
-37.040966,-0.060559
-32.365692,-0.057949
-27.617977,-0.056209
-22.332651,-0.051279
-16.422213,-0.050129
-10.315999,-0.047229
-4.811155,-0.046359
-0.698672,-0.044329
1.626568,-0.044039
2.345831,-0.044329
2.090612,-0.043459
1.603999,-0.043459
1.393756,-0.044039
1.568239,-0.044329
1.923861,-0.044039
2.184784,-0.044039
2.215588,-0.044329
2.081075,-0.044909
1.948651,-0.044619
1.939584,-0.044619
2.044602,-0.044039
2.160062,-0.043169
2.202289,-0.045199
2.195021,-0.043749
2.258377,-0.044329
2.510613,-0.044329
2.961789,-0.044329
3.483891,-0.044039
3.880787,-0.043459
4.015637,-0.045489
3.906193,-0.045489
3.721815,-0.043749
3.680169,-0.044039
3.924121,-0.043169
4.449501,-0.040849
5.105684,-0.042009
5.687781,-0.040849
6.071838,-0.040849
6.313523,-0.039409
6.659297,-0.041429
7.465083,-0.039119
9.062818,-0.040849
11.639249,-0.040849
15.183769,-0.038249
19.515223,-0.038829
24.370235,-0.036509
29.505108,-0.035639
34.761932,-0.036799
40.083015,-0.033029
45.483822,-0.027529
51.004951,-0.028969
56.668831,-0.026949
62.461559,-0.024629
68.338837,-0.024919
74.249153,-0.022309
80.162071,-0.018539
86.086624,-0.019409
92.067352,-0.016809
98.157471,-0.015649
104.386993,-0.012459
110.737526,-0.010429
117.135872,-0.008689
123.472488,-0.007239
129.64827,-0.006369
135.626068,-0.002899
141.45639,-0.001159
147.25975,-0.002029
153.170135,-0.003479
159.266434,0.004926
165.530701,0.003767
171.857285,0.006664
178.111221,0.008403
184.197723,0.008693
190.104324,0.008982
195.898804,0.013618
201.687241,0.014777
207.55809,0.015357
213.546555,0.019123
219.635376,0.019992
225.776642,0.020282
231.92067,0.025208
238.034195,0.024918
244.109619,0.028974
250.161087,0.031002
256.211823,0.031582
262.277374,0.03419
268.346405,0.0339
274.371552,0.039695
280.280762,0.040274
286.015594,0.045779
291.573608,0.045489
297.028717,0.045779
302.510254,0.050705
308.146179,0.050994
313.99472,0.051574
320.006256,0.055051
326.04187,0.05621
331.947357,0.057369
337.634674,0.061715
343.120361,0.061135
348.503296,0.062004
353.895905,0.06664
359.345734,0.06693
364.806488,0.067509
370.176086,0.073594
375.373505,0.073015
380.399506,0.071856
385.343842,0.077361
390.336761,0.07823
395.471069,0.077071
400.743652,0.083445
406.053925,0.083155
411.261841,0.088371
416.2612,0.08866
421.028625,0.088081
425.626831,0.091558
430.163971,0.095614
434.734863,0.095614
439.378876,0.10054
444.076233,0.09996
448.77713,0.097932
453.436859,0.103437
458.039795,0.106624
462.604828,0.106045
467.172363,0.104596
471.781921,0.110101
476.455963,0.110391
481.194031,0.113868
485.979553,0.115316
490.790649,0.116765
495.608124,0.117345
500.413849,0.118214
505.179199,0.123719
509.854065,0.124008
514.364868,0.127196
518.629761,0.129514
522.587769,0.130093
526.229797,0.128065
529.615967,0.134439
532.862244,0.135019
536.099609,0.134729
539.426697,0.135888
542.881409,0.137047
546.434692,0.141103
550.01947,0.141103
553.579712,0.141393
557.115112,0.143711
560.689453,0.147477
564.395447,0.146029
568.298157,0.148636
572.379517,0.152113
576.529541,0.152982
580.588257,0.154721
584.421448,0.15588
587.980896,0.157039
591.317383,0.160226
594.532776,0.159646
597.70636,0.161095
600.83606,0.164572
603.832703,0.165731
606.572693,0.16689
608.968323,0.169787
611.018433,0.171815
612.813843,0.170077
614.49823,0.171236
616.215637,0.170077
618.072388,0.169787
620.127869,0.170946
622.406677,0.176451
624.90625,0.175872
627.596375,0.176161
630.414551,0.176161
633.269653,0.181087
636.06134,0.181377
638.716125,0.181956
641.219604,0.185143
643.620972,0.187461
645.995239,0.187751
648.385803,0.185723
650.75885,0.185433
652.998352,0.18891
654.954895,0.192387
656.526245,0.192677
657.72168,0.192966
658.675293,0.192677
659.592102,0.192966
660.659973,0.192677
661.97345,0.193546
663.510315,0.194415
665.166565,0.195284
666.821289,0.195864
668.38855,0.196443
669.835022,0.197023
671.164795,0.198182
672.396545,0.198471
673.544556,0.197602
674.619568,0.199051
675.635437,0.201079
676.61853,0.19992
677.604187,0.201079
678.622253,0.20021
679.685791,0.203107
680.781555,0.203107
681.865906,0.203107
682.866272,0.204846
683.688477,0.203107
684.232056,0.205135
684.41803,0.207453
