Force[kip],Deformation[in]
871.147339,0.205292
871.737915,0.205002
872.153687,0.204422
872.487793,0.204712
872.818298,0.207031
873.185242,0.207321
873.579834,0.208481
873.945618,0.207611
874.205444,0.207321
874.302124,0.207901
874.243835,0.207611
874.125244,0.207611
874.107422,0.207611
874.352783,0.208481
874.942078,0.208771
875.81781,0.209641
876.788147,0.209351
877.599854,0.207901
878.038574,0.207611
878.016907,0.208191
877.589783,0.208191
876.899658,0.208191
876.077637,0.206451
875.157471,0.208481
874.053589,0.207321
872.607239,0.207901
870.683594,0.208771
868.268738,0.208191
865.515686,0.207321
862.720459,0.207901
860.236877,0.207611
858.361328,0.206741
857.241455,0.207901
856.835632,0.207611
856.935181,0.209351
857.237427,0.208771
857.44104,0.207901
857.327759,0.207611
856.797119,0.208771
855.849792,0.209061
854.533875,0.207611
852.890991,0.207031
850.937561,0.207611
848.682556,0.207321
846.173706,0.207901
843.517151,0.209641
840.858215,0.207611
838.320557,0.209641
835.944946,0.207321
833.663757,0.208771
831.339844,0.208191
828.846313,0.207321
826.139099,0.205871
823.275146,0.207611
820.364746,0.208771
817.486816,0.208771
814.627563,0.207901
811.676453,0.208481
808.481445,0.206741
804.923462,0.208771
800.965759,0.207611
796.659485,0.208771
792.108032,0.209351
787.427002,0.207031
782.714539,0.208191
778.042847,0.207321
773.460999,0.207901
768.996033,0.207611
764.643372,0.208191
760.356262,0.205581
756.046143,0.205292
751.608887,0.206451
746.965454,0.205581
742.095093,0.205002
737.036255,0.207031
731.857788,0.205581
726.615906,0.198912
721.319641,0.199202
715.92572,0.200072
710.359619,0.198043
704.55658,0.194563
698.497864,0.193983
692.227417,0.195143
685.843384,0.191374
679.477722,0.188764
673.259216,0.188474
667.28009,0.187314
661.564331,0.185284
656.058228,0.183835
650.637817,0.181805
645.145508,0.182095
639.443176,0.179195
633.46228,0.177745
627.220581,0.178035
620.802246,0.174266
614.312561,0.173396
607.818359,0.172236
601.314697,0.170496
594.72168,0.170207
587.923767,0.169627
580.833984,0.163827
573.450623,0.162668
565.877747,0.163827
558.28894,0.158608
550.854431,0.157738
543.667542,0.157158
536.704895,0.152519
529.840454,0.152519
522.907715,0.14933
515.776001,0.149619
508.403931,0.14759
500.842041,0.14382
493.187744,0.14411
485.520569,0.142081
477.859467,0.138891
470.155823,0.136861
462.324646,0.132222
454.290863,0.134542
446.022797,0.126133
437.5448,0.127293
428.931824,0.126423
420.285797,0.122073
411.707336,0.123233
403.274078,0.115984
395.028503,0.115694
386.970612,0.116854
379.055145,0.109895
371.195374,0.110185
363.28302,0.105836
355.220856,0.103516
346.953613,0.103226
338.484741,0.100037
329.865631,0.100327
321.162872,0.095397
312.42218,0.093368
303.651154,0.091628
294.826172,0.088728
285.916809,0.085829
276.912933,0.083799
267.843323,0.07887
258.775757,0.078
249.795349,0.078
240.971313,0.07423
232.327164,0.07365
223.821503,0.069301
215.349304,0.066111
206.775146,0.066111
197.989441,0.062052
188.960052,0.062342
179.74678,0.060602
170.470993,0.056543
161.256943,0.055093
152.174072,0.049004
143.212372,0.049874
134.293884,0.047264
125.30883,0.043785
116.16143,0.044075
106.810692,0.038855
97.301437,0.038275
87.771523,0.033926
78.423683,0.033926
69.447586,0.027547
60.917328,0.027257
52.719414,0.028417
44.575272,0.021748
36.183117,0.022618
27.426609,0.020878
18.542734,0.016818
10.134385,0.016239
2.981649,0.013339
-2.278071,0.00899
-5.436913,0.0087
-6.815795,0.00812
-7.118351,0.00812
-7.113693,0.00841
-7.321385,0.009859
-7.862508,0.009569
-8.537642,0.009859
-9.055054,0.0087
-9.258121,0.00928
-9.221072,0.00928
-9.177796,0.00899
-9.35423,0.009859
